"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"about",0.0469092773314683,0,0,0,0,0.0331343308134975,0,0,0,0.0117935753742957,0,0.0463880631388964,0,0,0,0,0
"academic",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"achieve",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"across",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ahead",0.0346905937219139,0.0339281630906631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"also",0.0198374690602582,0,0,0,0,0,0,0,0,0.0099747725783219,0.0154871468979208,0,0.0280243610533806,0,0,0,0.00939114226788818
"and",0.0130457232508735,0.034024010822791,0.0283187651055547,0.00716709487239347,0,0.0122864483526745,0.0107506423085902,0.0154809249243699,0,0.010932856585007,0.0237645777347783,0.0258015415406165,0.00614322417633726,0,0.0161259634628853,0,0.0205863363355983
"artificial",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attending",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"being",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"between",0.0281179813542605,0,0,0,0,0,0,0,0,0,0,0.0556111186784263,0,0,0,0,0.0133111720240914
"bring",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"challenges",0.0281179813542605,0.0275000037420789,0.0305182968357217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"collaboration",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"countries",0.0918530975561874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cybersecurity",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"deal",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"defence",0.056235962708521,0.0275000037420789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
"delegates",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"disruption",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"diverse",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"encourage",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"essential",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exchange",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"expertise",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fields",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"from",0.056235962708521,0,0,0.0463425988986886,0,0,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
"gathered",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goh",0.0459265487780937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"had",0.0346905937219139,0,0.0753039717378132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hard",0.0281179813542605,0,0.0305182968357217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133111720240914
